caldt,vwretd,vwretx,sprtrn
19390131,-0.060381,-0.061611,-0.068887
19390228,0.035255,0.031195,0.032520
19390331,-0.120727,-0.124673,-0.135433
19390429,-0.001932,-0.003436,-0.005464
19390531,0.068971,0.064244,0.062271
19390630,-0.053626,-0.058185,-0.063793
19390731,0.102243,0.100681,0.108656
19390831,-0.067264,-0.071789,-0.071429
19390930,0.161815,0.157310,0.164580
19391031,-0.004191,-0.005407,-0.014593
19391130,-0.037131,-0.045817,-0.049104
19391230,0.029686,0.022795,0.023770
19400131,-0.024215,-0.025613,-0.035228
19400229,0.014758,0.009782,0.006639
19400330,0.018643,0.014604,0.009893
19400430,0.000837,-0.000930,-0.004898
19400531,-0.221112,-0.227036,-0.239541
19400629,0.066856,0.061117,0.076591
19400731,0.031923,0.030031,0.031062
19400831,0.024296,0.017631,0.026239
19400930,0.023118,0.018192,0.009470
19401031,0.030143,0.028254,0.039400
19401130,-0.016752,-0.026882,-0.042419
19401231,0.006586,-0.001261,-0.002828
19410131,-0.041227,-0.042853,-0.048204
19410228,-0.013801,-0.019944,-0.014896
19410331,0.009515,0.003860,0.004032
19410430,-0.054018,-0.055862,-0.065261
19410531,0.013140,0.005156,0.004296
19410630,0.058495,0.051569,0.053476
19410731,0.059543,0.057281,0.054822
19410830,-0.001156,-0.007953,-0.008662
19410930,-0.007611,-0.012758,-0.009709
19411031,-0.052926,-0.055300,-0.068627
19411129,-0.020271,-0.032685,-0.042105
19411231,-0.046692,-0.056609,-0.045055
19420131,0.008979,0.007175,0.013809
19420228,-0.023651,-0.029970,-0.024972
19420331,-0.065144,-0.071734,-0.067520
19420430,-0.043583,-0.045992,-0.043695
19420529,0.060174,0.052393,0.063969
19420630,0.025772,0.018226,0.018405
19420731,0.035326,0.032815,0.031325
19420831,0.018408,0.011920,0.007009
19420930,0.027069,0.021072,0.026682
19421031,0.069088,0.067053,0.064407
19421130,0.001177,-0.009144,-0.013800
19421231,0.051290,0.042483,0.051668
19430130,0.073382,0.071869,0.071648
19430227,0.060478,0.055342,0.050621
19430331,0.061794,0.056727,0.052727
19430430,0.007333,0.005840,0.000864
19430529,0.057142,0.051725,0.044866
19430630,0.017351,0.012271,0.019818
19430731,-0.047753,-0.049281,-0.054251
19430831,0.013444,0.008795,0.010274
19430930,0.024077,0.019105,0.023729
19431030,-0.011573,-0.012763,-0.013245
19431130,-0.059903,-0.068563,-0.075503
19431231,0.064217,0.056945,0.058984
19440131,0.018030,0.016629,0.015424
19440229,0.003459,-0.001591,-0.002532
19440331,0.024768,0.019977,0.016920
19440429,-0.016484,-0.017836,-0.012479
19440531,0.050909,0.044927,0.040438
19440630,0.056842,0.051524,0.051012
19440731,-0.015194,-0.016613,-0.020801
19440831,0.015597,0.010417,0.008655
19440930,0.000453,-0.003469,-0.003120
19441031,0.002119,0.000611,
19441130,0.016668,0.007608,0.003912
19441230,0.041070,0.035301,0.035074
19450131,0.020218,0.018951,0.014307
19450228,0.064477,0.059894,0.061618
19450331,-0.039177,-0.043164,-0.046154
19450430,0.078232,0.076981,0.087977
19450531,0.018185,0.012439,0.011456
19450630,0.004676,0.001087,-0.003331
19450731,-0.022066,-0.023305,-0.020053
19450831,0.061826,0.057147,0.057981
19450929,0.048297,0.044969,0.041908
19451031,0.038749,0.037605,0.030322
19451130,0.054859,0.047862,0.032432
19451231,0.013003,0.009218,0.009889
19460131,0.063402,0.062228,0.069700
19460228,-0.058257,-0.061743,-0.069467
19460330,0.057941,0.054620,0.046296
19460430,0.042293,0.041154,0.037611
19460531,0.040195,0.036075,0.022388
19460628,-0.038668,-0.041517,-0.039103
19460731,-0.026309,-0.027697,-0.025502
19460830,-0.064468,-0.068420,-0.072940
19460930,-0.102023,-0.105410,-0.101502
19461031,-0.014164,-0.015903,-0.008021
19461130,0.000697,-0.006475,-0.011456
19461231,0.050161,0.043412,0.042945
19470131,0.013084,0.011536,0.023529
19470228,-0.011091,-0.016381,-0.014687
19470331,-0.016790,-0.020805,-0.016850
19470430,-0.047698,-0.049487,-0.038893
19470529,-0.009625,-0.016317,-0.008916
19470630,0.053226,0.048538,0.052595
19470731,0.041348,0.039342,0.036160
19470829,-0.017357,-0.022668,-0.027919
19470930,-0.004667,-0.009473,-0.013708
19471031,0.024831,0.022847,0.021178
19471129,-0.018750,-0.028514,-0.028516
19471231,0.030708,0.023249,0.020680
19480131,-0.037908,-0.039685,-0.039869
19480228,-0.043422,-0.049502,-0.046971
19480331,0.082628,0.076865,0.077143
19480430,0.038128,0.035972,0.026525
19480528,0.074319,0.068382,0.078165
19480630,-0.000280,-0.005419,0.002996
